NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-294 b,0.0130508,0.157909,3.701212,
Kepler-29 b,0.0397121,0.320884,10.3376,0
Kepler-24 b,0.0185071,0.213923,8.14561,0
Kepler-306 b,0.0123086,0.135605,4.646186,
Kepler-83 b,0.0240196,0.252,9.77,
81 Cet b,4.31096,,952.7,0.206
CoRoT-3 b,21.8549,1.01,4.2568,0
Kepler-377 b,0.00915403,0.124008,12.509529,
Kepler-126 d,0.0196646,0.223035,100.283134,
HAT-P-38 b,0.267569,0.825,4.640382,0.067
Kepler-18 d,0.0516,0.622714,14.85888,0.000521567
Kepler-380 b,0.00538981,0.106165,3.930821,
Kepler-132 d,0.011604,0.138282,18.010199,
Kepler-228 b,0.0125754,0.136497,2.566546,
mu Ara e,0.543322,,310.54999,0.0666
Kepler-97 b,0.0106941,0.132037,2.58664,0
Kepler-139 b,0.0258466,0.262289,15.771044,
Kepler-375 b,0.010538,0.12936,12.125934,
HD 136118 b,11.6809,,1187.3,0.338
Kepler-182 b,0.0206381,0.230172,9.825792,
HD 6434 b,0.397195,,21.997999,0.17
HD 5319 b,1.6984,,674.59998,0.12
Kepler-306 e,0.0171819,0.202516,44.840975,
Kepler-253 b,0.0121124,0.145419,3.783986,
Kepler-259 b,0.0236491,0.249799,8.115317,
HD 231701 b,1.08667,,141.60001,0.1
PH-2 b,0.488198,0.902041,282.5255,0.41
CoRoT-18 b,3.48652,1.31,1.9000693,0.04
Kepler-203 d,0.0102988,0.128468,11.32972,
HD 75898 b,2.51504,,418.20001,0.1
Kepler-224 b,0.00915403,0.124008,3.132924,
Kepler-205 b,0.0120453,0.134713,2.75564,
MOA-2008-BLG-310L b,0.23,,,
KIC 11442793 g,0.217563,0.723,210.60697,
GJ 1214 b,0.0203507,0.2389,1.58040482,0
Kepler-268 c,0.0344212,0.301543,83.446393,
Kepler-135 c,0.00493175,0.103488,11.448708,
Kepler-265 c,0.0212781,0.234633,17.028937,
16 Cyg B b,1.63997,,798.5,0.681
HAT-P-25 b,0.567181,1.19,3.652836,0.032
Kepler-341 e,0.014692,0.177536,42.473269,
HD 213240 b,4.53249,,882.7,0.421
Kepler-399 b,0.00252018,0.0856455,14.425281,
Kepler-341 c,0.012573,0.151664,8.01041,
Kepler-265 d,0.0195472,0.222143,43.130617,
Kepler-243 c,0.014692,0.177536,20.026218,
HD 12661 b,2.3408,,262.70861,0.376834
Kepler-9 c,0.168671,0.823,38.90861,0.132575
HD 74156 c,8.24664,,2520,0.38
Kepler-165 c,0.0167934,0.198947,15.31299,
Kepler-326 d,0.0057099,0.107949,6.766888,
HD 20794 c,0.00743617,,40.114,0
Kepler-31 c,0.0577969,0.374365,42.6318,0
Kepler-82 b,0.0517963,0.357,26.444,
Kepler-306 c,0.0179955,0.209653,7.240193,
Kepler-85 e,0.00674351,0.113302,25.216751,
HD 38801 b,10.0105,,696.3,0
HD 132563 B b,1.49247,,1544,0.22
Kepler-390 c,0.00126334,0.0704791,13.060022,
Kepler-61 b,0.0160339,0.191639,59.87756,0
GJ 667 C c,0.0130687,,28.1,0.27
HD 207832 c,0.730294,,1155.7,0.27
Kepler-80 b,0.0222358,0.241,7.053,
Kepler-272 d,0.0169862,0.200732,10.937304,
Kepler-44 b,1.02109,1.24,3.24674,0
HD 5891 b,5.22845,,177.11,0.066
Kepler-292 b,0.00769114,0.117763,2.580827,
Kepler-228 d,0.0531048,0.360425,11.094286,
Kepler-140 b,0.0119837,0.143635,3.25427,
Kepler-245 d,0.0273861,0.270319,36.277108,
HD 173416 b,2.71808,,323.6,0.21
Kepler-104 c,0.0292202,0.27924,23.668205,
Kepler-263 b,0.0218083,0.238201,16.568087,
Kepler-278 c,0.0395346,0.320278,51.078775,
HD 76700 b,0.232142,,3.97097,0.095
Kepler-366 b,0.0107805,0.130252,3.281959,
HD 39091 b,10.088,,2151,0.6405
HD 7449 b,1.3131,,1275,0.82
HD 149026 b,0.361471,0.654,2.8758911,0
Kepler-186 b,0.00370062,0.0953739,3.8867907,0.04
Kepler-219 c,0.0392746,0.319386,22.714613,
OGLE-2006-BLG-109L c,0.271,,4927.5,0.15
Kepler-361 c,0.0199023,0.224819,55.188023,
Kepler-265 e,0.0207641,0.231064,67.831024,
Qatar-2 b,2.48409,1.144,1.3371182,0
Kepler-293 b,0.0281036,0.273887,19.254196,
Kepler-166 b,0.0171819,0.202516,7.650254,
HD 216437 b,2.16817,,1353,0.319
HAT-P-49 b,1.72959,1.413,2.691548,0
Kepler-367 c,0.00554835,0.107057,53.578637,
Kepler-313 b,0.0200225,0.225711,14.970418,
Kepler-150 c,0.0422294,0.3292,7.381998,
Kepler-87 b,1.02138,1.21,114.73635,0.036
HAT-P-7 b,1.7916,1.363,2.204737,0
Kepler-316 c,0.00493175,0.103488,6.827766,
PSR B1257+12 C,0.0122719,,98.2114,0.0252
HD 49674 b,0.101571,,4.94737,0.087
HD 82943 b,1.68512,,442.4,0.203
Kepler-342 c,0.014454,0.174859,26.234138,
WASP-38 b,2.70901,1.09,6.87188,0.028
Kepler-139 c,0.0344212,0.301543,157.072878,
HD 77338 b,0.0498139,,5.7361,0.09
Kepler-29 c,0.0251535,0.25849,13.2907,0
HD 220773 b,1.44975,,3724.7,0.51
WASP-6 b,0.52136,1.224,3.361006,0.054
Kepler-206 c,0.0130508,0.157909,13.137471,
Kepler-169 c,0.0057099,0.107949,6.195469,
HD 159868 c,0.73,,352.3,0.15
HD 137388 b,0.227816,,330,0.36
HD 95086 b,4.5,,,
Kepler-196 b,0.0139923,0.169507,20.739886,
Kepler-352 b,0.00170474,0.0767241,10.05537,
Kepler-329 b,0.00937625,0.1249,7.416397,
Kepler-179 b,0.0121773,0.146311,2.735926,
Kepler-176 b,0.0100631,0.127576,5.433074,
Kepler-310 c,0.0344212,0.301543,56.47542,
Kepler-339 b,0.00983076,0.126684,4.977656,
Kepler-124 d,0.00422638,0.0990276,30.950851,
Kepler-52 c,0.0135364,0.164007,16.3850021,
HD 100777 b,1.16502,,383.70001,0.36
HAT-P-5 b,1.05561,1.254,2.788491,0
Kepler-125 b,0.0182069,0.211437,4.164389,
Kepler-193 b,0.0184218,0.213222,11.38848,
HD 222582 b,7.63003,,572.38,0.725
Kepler-119 c,0.00216566,0.0820769,4.125103,
Kepler-16 b,0.333,0.7538,228.776,0.0069
Kepler-32 d,0.0221838,0.240663,22.7802,0
Kepler-58 c,0.0245229,0.254925,15.5741568,
WASP-33 b,0,1.497,1.21986983,0
HD 128311 b,1.4572,,454.2,0.345
HD 181433 d,0.535482,,2172,0.48
TrES-1 b,0.752484,1.067,3.030065,0
HD 4208 b,0.807457,,828,0.052
Kepler-62 e,0,0.143507,122.3874,0.13
Kepler-120 b,0.0160511,0.19181,6.312501,
HD 5388 b,1.96509,,777,0.4
CoRoT-10 b,2.75536,0.97,13.2406,0.53
11 UMi b,11.0873,,516.22,0.08
Kepler-286 d,0.00789025,0.118655,5.914323,
Kepler-338 c,0.0178911,0.208761,24.310856,
WASP-62 b,0.56227,1.39,4.411953,0
Kepler-300 c,0.0169862,0.200732,40.714955,
HD 4732 c,2.36493,,2732,0.23
Kepler-258 c,0.0400599,0.322063,33.653079,
kappa CrB b,1.9747,,1300,0.125
Kepler-25 b,0.0223552,0.24177,6.2385,0
HD 99492 b,0.106179,,17.0431,0.254
Kepler-167 c,0.00871939,0.122223,7.406097,
Kepler-291 b,0.0161415,0.192702,3.546511,
HD 204941 b,0.26689,,1733,0.37
Kepler-332 d,0.00523423,0.105273,34.21154,
HD 196050 b,2.8434,,1378,0.228
WASP-11 b,0.539755,0.91,3.722465,0
HD 111232 b,6.84182,,1143,0.2
HD 117618 b,0.176652,,25.827,0.42
Kepler-192 c,0.0235009,0.248907,21.2234,
HD 180902 b,1.56395,,479,0.09
HIP 12961 b,0.354314,,57.435,0.166
HD 63454 b,0.384566,,2.818049,0
BD +48 738 b,1.2654,,392.6,0.2
Kepler-62 c,0,0.0481326,12.4417,0.186815
Kepler-371 c,0.0131206,0.158801,67.968015,
NGC 2423 3 b,6.63106,,714.3,0.21
Kepler-227 b,0.0288426,0.277456,9.488015,
Kepler-33 c,0.0305282,0.28523,13.17562,0
Kepler-275 b,0.0178911,0.208761,10.300682,
HD 13908 b,0.865,,19.382,0.046
HD 50499 b,1.74473,,2457.8717,0.253675
CoRoT-14 b,7.69464,1.09,1.51214,0
Kepler-176 d,0.019783,0.223927,25.751974,
Kepler-319 d,0.0173806,0.2043,31.781925,
Kepler-80 d,0.0128437,0.155232,3.072186,
Kepler-155 b,0.0155228,0.186457,5.931194,
Kepler-342 d,0.0195472,0.222143,39.459357,
CoRoT-4 b,0.717419,1.19,9.20205,0
HAT-P-19 b,0.292273,1.132,4.008778,0.067
HD 154857 c,2.57917,,3452,0.06
Kepler-24 c,0.0236121,0.249577,12.3318,0
Kepler-47 c,0.0729242,0.419091,303.158,0
GJ 163 b,0.033876,,8.631,0.11
Kepler-133 c,0.0242535,0.253368,31.517586,
Kepler-33 f,0.0654095,0.39754,41.02902,0
Kepler-116 b,0.0353405,0.305112,5.968734,
Kepler-107 c,0.0133325,0.161477,4.901425,
Kepler-84 e,0.0208911,0.231956,27.434389,
Kepler-109 b,0.0182069,0.211437,6.48163,0
Kepler-315 b,0.0445124,0.336337,96.101141,
KIC 11442793 f,0.0254263,0.26,124.9144,
HD 2039 b,5.92499,,1120,0.715
Kepler-170 b,0.0305853,0.285485,7.930592,
Kepler-36 c,0.025489,0.327926,16.23855,0
Kepler-247 d,0.0497576,0.351503,20.477912,
Kepler-136 b,0.0151834,0.182889,11.5789,
XO-2 b,0.56654,0.983,2.615838,0
Kepler-305 d,0.0223552,0.24177,16.738661,
Kepler-120 c,0.0125754,0.136497,12.794585,
Kepler-393 b,0.00711292,0.115086,9.182417,
Kepler-96 b,0.0261659,0.238201,16.23844,0
Kepler-11 d,0.0229683,0.2781,22.6845,0.0036055
HD 187085 b,0.803694,,986,0.47
HD 118203 b,2.13623,,6.1335,0.309
Kepler-106 b,0.00144019,0.073149,6.16486,0
WASP-63 b,0.378096,1.43,4.37808,0
Kepler-30 b,0.035557,0.347625,29.334,0.042
Kepler-214 c,0.0158724,0.190026,28.7798,
HD 175167 b,7.77836,,1290,0.54
Kepler-273 b,0.0117855,0.133821,2.936532,
Kepler-323 c,0.0121124,0.145419,3.553822,
Kepler-84 d,0.00893492,0.123115,4.224537,
Kepler-267 c,0.0158724,0.190026,6.87745,
HAT-P-16 b,4.2025,1.289,2.77596,0.036
TrES-4 b,0.925,1.783,3.553945,0
Kepler-231 c,0.0142208,0.172183,19.271566,
NGC 4349 127 b,9.88561,,677.8,0.19
Kepler-184 b,0.0181008,0.210545,10.687576,
GJ 676 A b,4.89701,,1056.8,0.326
Kepler-60 b,0.0172607,0.203227,7.1316185,
Kepler-151 b,0.0279223,0.272995,15.228958,
Kepler-242 c,0.0147725,0.178428,14.496481,
Kepler-230 b,0.0596201,0.380052,32.625555,
HD 47186 c,0.348285,,1353.6,0.249
Kepler-351 c,0.0303861,0.284593,57.24809,
Kepler-350 b,0.0136211,0.165046,11.189562,
Kepler-382 b,0.00769114,0.117763,5.262155,
HIP 14810 d,0.5806,,950.69651,0.165251
Kepler-209 b,0.0170837,0.201624,16.087845,
Kepler-123 c,0.0112762,0.132037,26.695074,
HD 142245 b,1.89038,,1299,0
Kepler-59 c,0.0149563,0.180443,17.9801235,
KIC 11442793 b,0.00752338,0.117,7.008151,
Kepler-258 b,0.0537981,0.362209,13.19722,
Kepler-309 c,0.019783,0.223927,105.356383,
Kepler-302 c,1,1.11071,127.282184,
HD 30177 b,9.68782,,2770,0.193
Kepler-4 b,0.0772279,0.357,3.21346,0
HD 190647 b,1.90296,,1038.1,0.18
HD 97658 b,0.024739,0.208761,9.4909,0.064
Kepler-261 b,0.0163243,0.194487,10.381227,
Kepler-57 b,0.0163986,0.195205,5.7293196,
Kepler-175 b,0.020389,0.228388,11.903515,
Kepler-323 b,0.0100631,0.127576,1.678327,
Kepler-377 c,0.0152673,0.183781,27.014976,
HD 106270 b,11.0869,,2890,0.402
Kepler-379 c,0.0173806,0.2043,62.784697,
HD 30856 b,1.85721,,912,0.117
Kepler-315 c,0.056492,0.370238,265.469335,
Kepler-80 c,0.022,0.254,9.522,
Kepler-179 c,0.0147725,0.178428,6.40013,
HD 48265 b,1.20645,,762,0.24
CoRoT-27 b,10.3882,1.007,3.57532,0
Kepler-360 c,0.0156092,0.187349,7.186434,
Kepler-262 b,0.00850717,0.121331,13.060855,
Kepler-381 b,0.0028129,0.0883219,5.629021,
Kepler-168 c,0.0220797,0.239986,13.193242,
Kepler-84 f,0.0165098,0.196271,44.552169,
HD 89307 b,1.79148,,2166,0.2
HD 163607 c,2.2924,,1314,0.12
WASP-49 b,0.378231,1.115,2.7817387,0
Kepler-288 b,0.0123736,0.148987,6.097326,
Kepler-37 c,0.0107897,0.066,21.301886,0.0984886
Kepler-55 b,0.0188372,0.216597,27.9481449,
HD 4313 b,2.17173,,356,0.041
HR 8799 b,7,1.2,164253,0
HD 2638 b,0.477325,,3.4442,0
Kepler-272 b,0.0100631,0.127576,2.971353,
Kepler-231 b,0.0127755,0.15434,10.065275,
HD 168443 b,7.69745,,58.11247,0.52883
Kepler-373 b,0.00850717,0.121331,5.535309,
Kepler-288 d,0.0218083,0.238201,56.633742,
HD 10180 f,0.0743252,,122.72,0.133
HD 45350 b,1.83614,,963.6,0.778
HD 69830 c,0.0367709,,31.559999,0.13
Kepler-21 b,0.0121473,0.1459,2.785755,0
Kepler-352 c,0.00621274,0.110625,16.332995,
Kepler-363 b,0.00493175,0.103488,3.614568,
Kepler-390 b,0.00144064,0.0731555,6.738088,
Kepler-340 b,0.0200225,0.225711,14.844387,
Kepler-335 c,0.0281036,0.273887,67.844469,
HD 47186 b,0.071203,,4.0845,0.038
Kepler-226 b,0.011604,0.138282,3.940997,
KELT-3 b,1.46164,1.358,2.70339,0
Kepler-51 c,0.108813,0.508958,85.3128662,
HD 148427 b,1.14357,,331.5,0.16
Kepler-226 c,0.0171819,0.202516,5.349555,
epsilon Tau b,7.67663,,594.90002,0.151
Kepler-11 e,0.0264312,0.373377,31.9996,0.012
Kepler-366 c,0.0131908,0.159693,12.51616,
HD 208487 b,0.5122,,130.08,0.24
Kepler-288 c,0.0244074,0.25426,19.305772,
Kepler-48 d,0.0151,0.181997,42.8961,0
Kepler-311 b,0.012573,0.151664,9.176092,
Kepler-117 c,0.923754,1.00812,50.790412,
epsilon Eri b,1.05448,,2500,0.25
Kepler-69 c,0.0126299,0.15242,242.4613,0.14
Kepler-296 f,0.0131908,0.159693,63.335879,
HD 20782 b,1.9,,591.9,0.97
Kepler-228 c,0.0222169,0.240878,4.134444,
HD 190360 c,0.0589738,,17.111027,0.23747
Kepler-23 c,0.0305282,0.28523,10.7421,0
Kepler-378 b,0.00105258,0.0669105,16.092361,
HD 65216 b,1.21636,,613.09998,0.41
Kepler-343 c,0.0149351,0.180212,23.22182,
Kepler-42 b,0.0012042,0.0695249,1.2137672,
Kepler-212 b,0.00396389,0.0972433,16.257582,
Kepler-296 c,0.0160511,0.19181,5.841648,
Kepler-356 b,0.0117295,0.140066,4.612696,
HAT-P-13 b,0.85708,1.281,2.91625,0.0133
Kepler-244 b,0.0230631,0.246231,4.311792,
GJ 3634 b,0.0221881,,2.64561,0.08
Kepler-9 b,0.248945,0.842,19.243158,0.150841
HD 130322 b,1.04309,,10.7085,0.011
Kepler-31 d,0.0685925,0.406816,87.648901,
Kepler-399 d,0.0139171,0.168615,58.034616,
Kepler-215 c,0.0130508,0.157909,14.667108,
Kepler-108 b,0.268526,0.771701,49.183921,
Kepler-348 c,0.00789025,0.118655,17.265427,
Kepler-124 b,0.000957504,0.0651262,3.410493,
Kepler-185 c,0.0149351,0.180212,20.729042,
Kepler-191 c,0.0136944,0.165938,17.738506,
omega Ser b,1.70083,,277.02,0.106
Kepler-111 b,0.0117926,0.140958,3.341815,
HD 16175 b,4.37946,,990,0.6
Kepler-235 b,0.0167934,0.198947,3.340222,
HD 46375 b,0.227201,,3.023573,0.063
Kepler-48 c,0.045968,0.24177,9.67395,
Kepler-114 b,0.00656354,0.11241,5.188549,
Kepler-60 d,0.0202381,0.227293,11.9016171,
Kepler-14 b,8.40643,1.136,6.790123,0.0350051
Kepler-234 c,0.0375018,0.313141,7.21205,
CoRoT-13 b,1.31099,0.885,4.03519,0
HD 98219 b,2.12353,,436.9,0
HD 11964 b,0.608106,,1944.5898,0.041
HAT-P-34 b,3.334,1.197,5.452654,0.441
MOA-2010-BLG-477L b,1.5,,,
Kepler-31 b,0.0606674,0.383278,20.8613,0
Kepler-85 c,0.0162741,0.194,12.513,
Kepler-219 d,0.0237984,0.250691,47.903645,
Kepler-248 c,0.0541479,0.363101,16.239494,
HD 139357 b,10.0754,,1125.7,0.1
HD 1461 b,0.0240044,,5.7727,0.14
Kepler-283 c,0.013404,0.16237,92.743711,
HAT-P-30 b,0.711088,1.34,2.810595,0.035
Kepler-251 d,0.0232079,0.247123,30.133001,
Kepler-234 b,0.0425085,0.330092,2.711506,
Kepler-37 b,0.00958673,0.0270078,13.367308,0
Kepler-392 c,0.00409374,0.0981354,10.423118,
HD 8535 b,0.682196,,1313,0.15
HAT-P-28 b,0.627833,1.212,3.257215,0.051
Kepler-349 c,0.014454,0.174859,12.247629,
HD 4203 b,2.08215,,431.88,0.519
Kepler-331 d,0.0121773,0.146311,32.134328,
HD 102956 b,0.951497,,6.4948,0.048
Kepler-362 c,0.010538,0.12936,37.866281,
Kepler-186 e,0.00672298,0.113201,22.407793,0.03
Kepler-321 c,0.0176845,0.206977,13.093921,
Kepler-376 c,0.0131908,0.159693,14.172327,
Fomalhaut b,0.5,,318498,0.12
GJ 176 b,0.0259969,,8.7832,0
HD 23079 b,2.4433,,730.6,0.102
HD 178911 B b,7.29127,,71.484,0.114
WASP-58 b,0.891379,1.37,5.01718,0
Kepler-244 c,0.0151834,0.182889,9.767292,
Kepler-354 b,0.0135483,0.164154,5.47666,
Kepler-278 b,0.0541479,0.363101,30.160546,
HD 162020 b,15.2138,,8.428198,0.277
Kepler-183 b,0.0152673,0.183781,5.687945,
MOA-bin-1L b,3.7,,,
Kepler-210 c,0.0403249,0.322955,7.972513,
Kepler-184 d,0.0195472,0.222143,29.022358,
HD 168746 b,0.245103,,6.404,0.107
GJ 876 c,0.612168,,30.0881,0.25591
Kepler-20 c,0.0495058,0.273643,10.854092,0
Kepler-47 b,0.026473,0.265621,49.514,0
Kepler-296 b,0.00233796,0.0838612,3.621457,
Kepler-402 b,0.00587447,0.108841,4.028751,
Kepler-260 b,0.0148535,0.17932,8.187399,
Kepler-255 c,0.0266892,0.26675,9.946047,
HD 215497 b,0.020855,,3.93404,0.16
Kepler-62 f,0,0.12568,267.291,0.094434
HD 154345 b,0.956901,,3341.5588,0.044
Kepler-60 c,0.0192896,0.220162,8.9193459,
Kepler-395 c,0.00769114,0.117763,34.989262,
HD 217107 b,1.40112,,7.1268163,0.126686
mu Ara c,1.88907,,4205.8,0.0985
HD 7199 b,0.295018,,615,0.19
Kepler-233 c,0.0223552,0.24177,60.418955,
GJ 433 b,0.0181986,,7.3709,0.08
HD 159243 b,1.13,,12.62,0.02
Kepler-327 d,0.0127755,0.15434,13.969457,
HAT-P-31 b,2.16904,1.07,5.005425,0.245
OGLE-TR-113 b,1.26,1.093,1.4324757,0
Kepler-356 c,0.0133325,0.161477,13.121632,
Kepler-41 b,0.493545,0.841,1.855558,0
Kepler-270 b,0.0148535,0.17932,11.476094,
HD 40307 d,0.028076,,20.46,0
HD 290327 b,2.54762,,2443,0.08
GJ 876 e,0.039229,,124.26,0.055
HD 169830 c,4.06407,,2102,0.33
47 UMa c,0.545774,,2391,0.098
Kepler-85 b,0.0145548,0.176,8.306,
Kepler-313 c,0.0205131,0.22928,32.273273,
Kepler-199 b,0.0288426,0.277456,23.637604,
Kepler-172 b,0.0179955,0.209653,2.940309,
Kepler-223 d,0.0265182,0.265858,14.788759,
Kepler-360 b,0.0122424,0.147203,3.289672,
Kepler-246 b,0.0178911,0.208761,4.60182,
Kepler-347 b,0.0145328,0.175752,12.79836,
HD 63765 b,0.643827,,358,0.24
Kepler-217 c,0.0136211,0.165046,8.586004,
HD 85390 b,0.131884,,788,0.41
Kepler-401 c,0.0160511,0.19181,47.318218,
Kepler-299 c,0.0215411,0.236417,6.885875,
Kepler-112 b,0.0181008,0.210545,8.408878,
Kepler-155 c,0.0168894,0.199839,52.661793,
Kepler-271 c,0.00291583,0.089214,7.410935,
Kepler-241 c,0.0205131,0.22928,36.065978,
WASP-77 A b,1.75921,1.21,1.3600309,0
Kepler-164 c,0.022635,0.243554,10.945723,
Kepler-371 b,0.0139171,0.168615,34.763278,
55 Cnc e,0.0263671,0.185565,0.736546,0
HIP 57274 d,0.528573,,431.7,0.27
HD 221287 b,3.11535,,456.10001,0.08
KOI-13 b,6.515,1.406,1.76358799,0
HD 192699 b,2.29191,,345.53,0.129
Kepler-178 d,0.0500833,0.352395,96.678988,
Kepler-312 b,0.00711292,0.115086,1.772419,
Kepler-164 b,0.00960182,0.125792,5.03503,
Kepler-341 b,0.00523423,0.105273,5.195528,
Kepler-311 c,0.0100631,0.127576,19.738286,
HD 181342 b,3.14944,,663,0.177
WASP-8 b,2.13797,1.038,8.158715,0.31
HD 131496 b,2.24115,,883,0.163
Kepler-154 c,0.0260126,0.263181,62.303276,
Kepler-334 c,0.0100631,0.127576,12.758005,
Kepler-372 c,0.0155228,0.186457,20.053763,
Kepler-127 b,0.00937625,0.1249,14.435889,
HD 44219 b,0.589265,,472.3,0.61
75 Cet b,2.7597,,691.9,0.117
Kepler-27 b,0.051622,0.356538,15.3348,0
Kepler-210 b,0.0258466,0.262289,2.453234,
Kepler-40 b,2.17684,1.17,6.87349,0
Kepler-171 c,0.020389,0.228388,11.463462,
Kepler-298 c,0.0142208,0.172183,22.92881,
Kepler-331 c,0.0135483,0.164154,17.28111,
HD 220074 b,11.1883,,672.1,0.14
Kepler-133 b,0.0129814,0.157017,8.129976,
HAT-P-39 b,0.599196,1.571,3.54387,0
WASP-26 b,1.01746,1.32,2.7566,0
WASP-71 b,1,1.5,2.9036747,0
HIP 2247 b,5.12319,,655.6,0.54
GJ 876 d,0.0184193,,1.93778,0.207
